participant_id	stc_ref_time	fmriprep_start	fmriprep_stop
sub-v1s5x0050722	0.807	2026-03-10T03:23:50	2026-03-10T06:47:14
sub-v1s5x0050723	0.807	2026-03-10T03:26:30	n/a
sub-v1s5x0050724	0.807	2026-03-10T03:30:01	n/a
sub-v1s5x0050725	0.807	2026-03-10T03:31:28	n/a
sub-v1s5x0050726	0.807	2026-03-10T03:31:58	n/a
sub-v1s5x0050727	0.807	2026-03-10T03:34:51	2026-03-10T07:47:37
sub-v1s5x0050728	0.807	2026-03-10T03:35:29	n/a
sub-v1s5x0050730	0.807	2026-03-10T03:35:47	2026-03-10T08:02:54
sub-v1s5x0050731	0.807	2026-03-10T03:38:51	2026-03-10T07:53:48
sub-v1s5x0050732	0.807	2026-03-10T03:41:16	2026-03-10T06:50:59
sub-v1s5x0050733	0.807	2026-03-10T03:42:45	2026-03-10T07:38:34
sub-v1s5x0050734	0.807	2026-03-10T03:51:50	2026-03-10T08:04:05
sub-v1s5x0050735	0.807	2026-03-10T03:54:19	2026-03-10T07:54:59
sub-v1s5x0050736	0.807	2026-03-10T04:03:24	2026-03-10T08:06:29
sub-v1s5x0050737	0.807	2026-03-10T04:11:59	n/a
sub-v1s5x0050738	0.807	2026-03-10T04:17:51	2026-03-10T07:57:59
sub-v1s5x0050739	0.807	2026-03-10T04:21:24	2026-03-10T08:30:18
sub-v1s5x0050740	0.807	2026-03-10T04:22:21	2026-03-10T08:25:05
sub-v1s5x0050741	0.807	2026-03-10T04:30:52	2026-03-10T08:21:00
sub-v1s5x0050742	0.807	2026-03-10T04:34:21	2026-03-10T08:30:03
sub-v1s5x0050743	0.807	2026-03-10T04:36:51	2026-03-10T08:36:48
sub-v1s5x0050744	0.807	2026-03-10T04:43:24	2026-03-10T07:59:45
sub-v1s5x0050745	0.807	2026-03-10T04:45:50	2026-03-10T08:36:29
sub-v1s5x0050746	0.807	2026-03-10T04:49:20	2026-03-10T07:59:18
sub-v1s5x0050747	0.807	2026-03-10T04:51:21	2026-03-10T08:48:42
sub-v1s5x0050748	0.807	2026-03-10T04:56:00	2026-03-10T08:46:20
sub-v1s5x0050749	0.807	2026-03-10T04:57:04	2026-03-10T09:40:04
sub-v1s5x0050750	0.807	2026-03-10T04:58:57	2026-03-10T09:25:54
sub-v1s5x0050751	0.807	2026-03-10T05:00:17	2026-03-10T08:20:13
sub-v1s5x0050752	0.807	2026-03-10T05:06:24	2026-03-10T08:10:09
sub-v1s5x0050753	0.807	2026-03-10T05:07:36	2026-03-10T09:05:22
sub-v1s5x0050754	0.807	2026-03-10T05:08:17	2026-03-10T09:07:15
sub-v1s5x0050755	0.807	2026-03-10T05:11:16	2026-03-10T09:28:55
sub-v1s5x0050756	0.807	2026-03-10T05:11:55	2026-03-10T08:50:20
sub-v1s5x0050757	0.807	2026-03-10T05:14:15	2026-03-10T09:24:25
